iter	Logloss
0	0.6888481269
50	0.6191799654
100	0.6023667738
150	0.5940542022
200	0.5886314073
250	0.5845642453
300	0.5810988885
350	0.5782038429
400	0.5757172813
450	0.5732918421
500	0.5711077049
550	0.5690842286
600	0.5670714767
650	0.5651915395
700	0.5633511138
750	0.5615277314
800	0.5596992904
850	0.5580728796
900	0.5563059643
950	0.5547580903
997	0.5532549808
