iter	Passed	Remaining
399	64101	95832
400	64260	95669
401	64423	95514
402	64588	95360
403	64751	95203
404	64914	95047
405	65071	94882
406	65227	94716
407	65392	94562
408	65551	94400
409	65712	94241
410	65871	94079
411	66033	93921
412	66198	93767
413	66365	93616
414	66528	93460
415	66685	93295
416	66844	93133
417	67010	92981
418	67171	92821
419	67331	92660
420	67491	92500
421	67644	92330
422	67796	92158
423	67950	91990
424	68110	91828
425	68265	91662
426	68424	91500
427	68581	91335
428	68734	91165
429	68897	91008
430	69055	90845
431	69209	90677
432	69372	90521
433	69534	90363
434	69697	90206
435	69850	90037
436	70003	89867
437	70165	89709
438	70335	89562
439	70507	89415
440	70671	89260
441	70822	89089
442	70977	88921
443	71136	88760
444	71291	88593
445	71453	88435
446	71611	88272
447	71774	88115
448	71949	87974
449	72116	87821
450	72279	87665
451	72450	87517
452	72606	87351
453	72770	87196
454	72931	87037
455	73092	86877
456	73245	86708
457	73425	86571
458	73584	86410
459	73741	86245
460	73903	86087
461	74057	85919
462	74214	85755
463	74369	85589
464	74528	85426
465	74687	85265
466	74839	85096
467	75001	84937
468	75167	84783
469	75324	84619
470	75481	84456
471	75647	84302
472	75814	84149
473	75986	84002
474	76149	83845
475	76307	83682
476	76468	83521
477	76619	83351
478	76788	83200
479	76957	83050
480	77119	82891
481	77288	82740
482	77448	82579
483	77601	82411
484	77753	82242
485	77917	82085
486	78071	81918
487	78232	81759
488	78393	81600
489	78548	81434
490	78706	81271
491	78867	81111
492	79027	80950
493	79173	80776
494	79335	80617
495	79494	80456
496	79654	80295
497	79811	80132
498	79971	79971
499	80138	79818
500	80302	79661
501	80461	79499
502	80620	79338
503	80778	79176
504	80943	79019
505	81102	78858
506	81260	78695
507	81413	78528
508	81574	78369
509	81737	78211
510	81897	78050
511	82059	77892
512	82213	77726
513	82367	77560
514	82527	77399
515	82686	77238
516	82840	77072
517	83001	76912
518	83156	76747
519	83311	76582
520	83466	76417
521	83618	76250
522	83772	76083
523	83925	75917
524	84083	75754
525	84246	75597
526	84401	75432
527	84560	75271
528	84710	75102
529	84871	74942
530	85028	74780
531	85195	74625
532	85354	74465
533	85507	74298
534	85674	74144
535	85839	73988
536	85994	73823
537	86154	73663
538	86312	73502
539	86474	73343
540	86635	73183
541	86789	73018
542	86955	72863
543	87115	72703
544	87275	72542
545	87435	72382
546	87582	72211
547	87739	72048
548	87894	71884
549	88048	71719
550	88208	71558
551	88368	71399
552	88539	71247
553	88698	71086
554	88859	70927
555	89014	70762
556	89171	70601
557	89315	70428
558	89473	70266
559	89632	70105
560	89795	69947
561	89951	69784
562	90104	69618
563	90267	69460
564	90426	69300
565	90592	69144
566	90752	68984
567	90910	68823
568	91067	68660
569	91225	68499
570	91382	68337
571	91540	68175
572	91698	68013
573	91847	67845
574	92002	67682
575	92182	67536
576	92345	67378
577	92505	67218
578	92658	67053
579	92814	66890
580	92966	66724
581	93115	66556
